location,districk,neighborhood,room,living_room,area,age,floor,price
İstanbul , Kadıköy , Erenköy Mah.,2,1,115,0,3,72000
İstanbul , Bakırköy , Şenlikköy Mah.,4,1,195,25,1,85000
İstanbul , Kadıköy , 19 Mayıs Mah.,2,1,82,5,1,44000
İstanbul , Kadıköy , Feneryolu Mah.,3,1,119,4,5,85000
İstanbul , Maltepe , Küçükyalı Mah.,2,1,75,0,4,40000
İstanbul , Kağıthane , Ortabayır Mah.,1,1,65,15,-1,16000
İstanbul , Beyoğlu , Hacıahmet Mah.,2,1,110,31,1,20000
İstanbul , Şişli , Yayla Mah.,1,1,62,15,5,49000
İstanbul , Başakşehir , Kayabaşı Mah.,2,1,110,3,2,35000
İstanbul , Üsküdar , Aziz Mahmut Hüdayi Mah.,3,1,165,25,3,70000
İstanbul , Fatih , Yedikule Mah.,3,1,120,40,1,25000
İstanbul , Büyükçekmece , Mimar Sinan Merkez Mah.,3,1,125,10,2,30000
