location,districk,neighborhood,room,living_room,area,age,floor,price,base_score,score_with_bonus,score
İstanbul , Fatih , Yedikule Mah.,1,1,70,30,-3,10000,0.0004130524576621231,0.10041305245766213,0.091
İstanbul , Kadıköy , Sahrayı Cedit Mah.,2,1,100,35,4,21000,0.000891323724428792,0.1008913237244288,0.092
İstanbul , Kadıköy , Fenerbahçe Mah.,1,1,70,6,6,25000,0.0010652405487075805,0.10106524054870758,0.092
İstanbul , Üsküdar , Ferah Mah.,1,1,65,15,-1,15000,0.000630448488010609,0.10063044848801062,0.091
İstanbul , Avcılar , Mustafa Kemal Paşa Mah.,3,1,120,25,2,15500,0.0006521880910454575,0.0006521880910454575,0.001
İstanbul , Bağcılar , Kirazlı Mah.,2,1,100,26,3,19500,0.0008261049153242462,0.0008261049153242462,0.001
İstanbul , Sarıyer , Ayazağa Mah.,2,1,100,25,1,23000,0.0009782821365681863,0.10097828213656819,0.092
İstanbul , Bayrampaşa , Terazidere Mah.,2,1,80,7,1,25000,0.0010652405487075805,0.0010652405487075805,0.001
İstanbul , Bakırköy , Yeşilköy Mah.,4,1,270,21,1,95000,0.004108784973586382,0.10410878497358639,0.095
İstanbul , Kağıthane , Ortabayır Mah.,2,1,80,5,1,30000,0.0012826365790560665,0.0012826365790560665,0.001
İstanbul , Ümraniye , Tepeüstü Mah.,2,1,120,18,1,25000,0.0010652405487075805,0.0010652405487075805,0.001
İstanbul , Kağıthane , Yahya Kemal Mah.,5,1,160,5,2,35000,0.0015000326094045523,0.0015000326094045523,0.001
İstanbul , Avcılar , Merkez Mah.,2,1,90,27,2,20000,0.0008478445183590947,0.0008478445183590947,0.001
İstanbul , Beylikdüzü , Kavaklı Mah.,2,1,90,5,2,26000,0.0011087197547772778,0.0011087197547772778,0.001
İstanbul , Avcılar , Denizköşkler Mah.,2,1,90,30,1,15500,0.0006521880910454575,0.0006521880910454575,0.001
İstanbul , Kağıthane , Emniyet Evleri Mah.,3,1,150,25,1,30000,0.0012826365790560665,0.0012826365790560665,0.001
İstanbul , Sultanbeyli , Mimar Sinan Mah.,2,1,135,4,1,16500,0.0006956672971151547,0.0006956672971151547,0.001
İstanbul , Fatih , Cerrahpaşa Mah.,2,1,65,35,2,22500,0.0009565425335333376,0.10095654253353334,0.092
İstanbul , Kadıköy , Rasimpaşa Mah.,2,1,89,40,3,38000,0.0016304702276136438,0.10163047022761365,0.092
İstanbul , Gaziosmanpaşa , Sarıgöl Mah.,2,1,80,8,3,17500,0.0007391465031848518,0.0007391465031848518,0.001
İstanbul , Kağıthane , Çeliktepe Mah.,2,1,95,30,1,31000,0.0013261157851257636,0.0013261157851257636,0.001
İstanbul , Sarıyer , Yeniköy Mah.,4,1,180,30,3,240000,0.010413269853692472,0.11041326985369247,0.1
İstanbul , Beykoz , Öğümce Mah.,3,1,150,3,0,50000,0.00215222070045001,0.00215222070045001,0.002
İstanbul , Küçükçekmece , Gültepe Mah.,3,1,120,27,5,17000,0.0007174069001500032,0.0007174069001500032,0.001
İstanbul , Kağıthane , Çeliktepe Mah.,2,1,110,2,3,49000,0.0021087414943803126,0.0021087414943803126,0.002
İstanbul , Beşiktaş , Vişnezade Mah.,2,1,120,35,1,65000,0.0028044087914954672,0.10280440879149547,0.093
İstanbul , Eyüpsultan , İslambey Mah.,1,1,75,0,2,23000,0.0009782821365681863,0.0009782821365681863,0.001
İstanbul , Pendik , Dumlupınar Mah.,2,1,125,0,3,38000,0.0016304702276136438,0.0016304702276136438,0.001
İstanbul , Küçükçekmece , Tevfik Bey Mah.,3,1,125,25,5,18000,0.0007608861062197005,0.0007608861062197005,0.001
İstanbul , Kağıthane , Sultan Selim Mah.,3,1,155,26,3,38000,0.0016304702276136438,0.0016304702276136438,0.001
İstanbul , Beşiktaş , Vişnezade Mah.,3,1,175,65,3,120000,0.005195765125328811,0.10519576512532881,0.096
İstanbul , Bahçelievler , Siyavuşpaşa Mah.,3,1,120,25,1,30000,0.0012826365790560665,0.0012826365790560665,0.001
İstanbul , Üsküdar , İcadiye Mah.,2,1,80,35,2,25000,0.0010652405487075805,0.10106524054870758,0.092
İstanbul , Şile , Değirmençayırı Mah.,3,1,155,11,0,45000,0.0019348246701015239,0.0019348246701015239,0.002
İstanbul , Eyüpsultan , Akşemsettin Mah.,2,1,90,16,4,19000,0.0008043653122893976,0.0008043653122893976,0.001
İstanbul , Esenyurt , Yunus Emre Mah.,2,1,90,10,3,20000,0.0008478445183590947,0.0008478445183590947,0.001
İstanbul , Esenler , Kemer Mah.,2,1,110,29,5,13000,0.0005434900758712146,0.0005434900758712146,0.0
İstanbul , Kağıthane , Şirintepe Mah.,2,1,81,3,7,30000,0.0012826365790560665,0.0012826365790560665,0.001
İstanbul , Gaziosmanpaşa , Karlıtepe Mah.,2,1,90,30,1,20000,0.0008478445183590947,0.0008478445183590947,0.001
İstanbul , Şişli , Teşvikiye Mah.,2,1,140,55,4,50000,0.00215222070045001,0.10215222070045002,0.093
İstanbul , Üsküdar , Zeynep Kamil Mah.,2,1,90,40,3,23000,0.0009782821365681863,0.10097828213656819,0.092
İstanbul , Beyoğlu , Kadımehmet Efendi Mah.,1,1,60,25,4,16000,0.0006739276940803061,0.10067392769408032,0.092
İstanbul , Beşiktaş , Sinanpaşa Mah.,2,1,120,40,2,35000,0.0015000326094045523,0.10150003260940456,0.092
İstanbul , Sarıyer , Cumhuriyet Mah.,2,1,140,35,1,55000,0.0023696167307984957,0.1023696167307985,0.093
İstanbul , Bahçelievler , Bahçelievler Mah.,3,1,135,12,9,60000,0.0025870127611469815,0.0025870127611469815,0.002
İstanbul , Esenyurt , Üçevler Mah.,1,1,65,15,-1,10000,0.0004130524576621231,0.0004130524576621231,0.0
İstanbul , Üsküdar , İcadiye Mah.,3,1,130,40,3,32000,0.0013695949911954608,0.10136959499119547,0.092
İstanbul , Beykoz , Acarlar Mah.,3,1,191,0,16,100000,0.004326181003934868,0.004326181003934868,0.004
İstanbul , Küçükçekmece , Kemalpaşa Mah.,2,1,100,25,3,18500,0.000782625709254549,0.000782625709254549,0.001
İstanbul , Sarıyer , Ayazağa Mah.,1,1,65,12,3,33500,0.0014348138003000064,0.1014348138003,0.092
İstanbul , Üsküdar , Altunizade Mah.,2,1,230,20,3,145000,0.00628274527707124,0.10628274527707124,0.097
İstanbul , Kadıköy , Erenköy Mah.,4,1,230,26,9,120000,0.005195765125328811,0.10519576512532881,0.096
İstanbul , Beşiktaş , Levent Mah.,1,1,85,0,12,40000,0.001717428639753038,0.10171742863975304,0.092
İstanbul , Şişli , İnönü Mah.,2,1,80,9,4,35000,0.0015000326094045523,0.10150003260940456,0.092
İstanbul , Sarıyer , Kireçburnu Mah.,1,1,110,30,1,45000,0.0019348246701015239,0.10193482467010152,0.093
İstanbul , Beşiktaş , Türkali Mah.,2,1,105,40,3,39500,0.0016956890367181895,0.10169568903671819,0.092
İstanbul , Üsküdar , Zeynep Kamil Mah.,2,1,110,19,1,32500,0.0013913345942303094,0.10139133459423032,0.092
İstanbul , Beşiktaş , Etiler Mah.,3,1,138,30,4,55000,0.0023696167307984957,0.1023696167307985,0.093
İstanbul , Eyüpsultan , Göktürk Merkez Mah.,14,1,215,0,3,125000,0.005413161155677297,0.005413161155677297,0.005
İstanbul , Bahçelievler , Şirinevler Mah.,3,1,125,32,5,25000,0.0010652405487075805,0.0010652405487075805,0.001
İstanbul , Sarıyer , Huzur Mah.,4,1,204,7,21,130000,0.005630557186025783,0.10563055718602579,0.096
İstanbul , Şişli , Eskişehir Mah.,1,1,65,50,1,10000,0.0004130524576621231,0.10041305245766213,0.091
