list-view-price,left,location,districk,neighborhood,room,living_room,area,age,floor
35.000,Kiralık Daire,İstanbul , Gaziosmanpaşa , Yenidoğan Mah.,2,1,200,23,5
18.000,Kiralık Daire,İstanbul , Avcılar , Merkez Mah.,1,1,80,10,1
35.000,Kiralık Daire,İstanbul , Beşiktaş , Gayrettepe Mah.,2,1,75,30,5
70.000,Kiralık Daire,İstanbul , Maltepe , Cevizli Mah.,3,1,140,13,3
18.000,Kiralık Daire,İstanbul , Esenyurt , Piri Reis Mah.,1,1,75,8,6
50.000,Kiralık Daire,İstanbul , Beyoğlu , Cihangir Mah.,2,1,100,30,2
85.000,Kiralık Daire,İstanbul , Kadıköy , Caddebostan Mah.,3,1,125,12,7
22.000,Kiralık Daire,İstanbul , Pendik , Fatih Mah.,2,1,95,1,1
25.000,Kiralık Daire,İstanbul , Kartal , Esentepe Mah.,2,1,78,7,1
43.000,Kiralık Daire,İstanbul , Kadıköy , Caferağa Mah.,1,1,60,5,1
46.000,Kiralık Daire,İstanbul , Kağıthane , Sultan Selim Mah.,2,1,100,2,9
25.000,Kiralık Daire,İstanbul , Sancaktepe , Fatih Mah.,4,1,160,9,3
58.000,Kiralık Daire,İstanbul , Bakırköy , Zuhuratbaba Mah.,2,1,85,1,2
95.000,Kiralık Daire,İstanbul , Kadıköy , Caferağa Mah.,3,1,165,35,5
95.000,Kiralık Daire,İstanbul , Bakırköy , Osmaniye Mah.,1,1,195,10,1
55.000,Kiralık Daire,İstanbul , Bakırköy , Yeşilköy Mah.,3,1,190,38,2
20.000,Kiralık Daire,İstanbul , Arnavutköy , Boğazköy İstiklal Mah.,2,1,107,2,3
25.000,Kiralık Daire,İstanbul , Esenyurt , Barbaros Hayrettin Paşa Mah.,2,1,180,8,5
130.000,Kiralık Daire,İstanbul , Sarıyer , Kireçburnu Mah.,6,2,400,27,3
23.500,Kiralık Daire,İstanbul , Pendik , Kurtköy Mah.,2,1,110,25,3
30.000,Kiralık Daire,İstanbul , Şişli , Halide Edip Adıvar Mah.,2,1,140,12,1
50.000,Kiralık Daire,İstanbul , Bakırköy , Ataköy 3-4-11. Kısım Mah.,3,1,127,55,2
18.000,Kiralık Daire,İstanbul , Pendik , Velibaba Mah.,2,1,90,20,5
66.000,Kiralık Daire,İstanbul , Kadıköy , Fenerbahçe Mah.,2,1,71,7,3
13.500,Kiralık Daire,İstanbul , Avcılar , Merkez Mah.,3,1,110,32,1
35.000,Kiralık Daire,İstanbul , Şişli , Feriköy Mah.,3,1,120,30,2
55.000,Kiralık Daire,İstanbul , Sarıyer , Maslak Mah.,1,1,80,10,4
17.500,Kiralık Daire,İstanbul , Bahçelievler , Şirinevler Mah.,2,1,90,38,1
140.000,Kiralık Villa,İstanbul , Beşiktaş , Balmumcu Mah.,5,1,500,32,0
60.000,Kiralık Daire,İstanbul , Bahçelievler , Bahçelievler Mah.,3,1,150,1,3
390.000,Kiralık Villa,İstanbul , Eyüpsultan , Göktürk Merkez Mah.,4,2,400,20,0
75.000,Kiralık Daire,İstanbul , Kadıköy , Göztepe Mah.,2,1,80,1,7
80.000,Kiralık Daire,İstanbul , Beykoz , Kanlıca Mah.,3,1,140,30,3
62.000,Kiralık Daire,İstanbul , Kadıköy , Göztepe Mah.,3,1,105,1,1
30.000,Kiralık Daire,İstanbul , Beşiktaş , Vişnezade Mah.,2,1,90,40,2
28.000,Kiralık Daire,İstanbul , Kadıköy , Merdivenköy Mah.,2,1,85,35,1
26.000,Kiralık Daire,İstanbul , Beykoz , Paşabahçe Mah.,2,1,90,30,1
20.500,Kiralık Daire,İstanbul , Kağıthane , Nurtepe Mah.,3,1,170,25,4
35.000,Kiralık Daire,İstanbul , Çekmeköy , Mimar Sinan Mah.,3,1,125,19,2
18.000,Kiralık Daire,İstanbul , Kağıthane , Sultan Selim Mah.,2,1,90,25,5
14.500,Kiralık Daire,İstanbul , Bayrampaşa , Orta Mah.,2,1,85,40,3
33.000,Kiralık Daire,İstanbul , Kadıköy , Caferağa Mah.,1,0,45,5,1
80.000,Kiralık Daire,İstanbul , Kadıköy , Kozyatağı Mah.,3,1,145,9,1
12.000,Kiralık Daire,İstanbul , Esenyurt , Yeşilkent Mah.,1,1,68,6,16
35.000,Kiralık Daire,İstanbul , Beşiktaş , Abbasağa Mah.,2,1,95,7,-1
17.500,Kiralık Daire,İstanbul , Kartal , Hürriyet Mah.,2,1,110,22,1
30.000,Kiralık Daire,İstanbul , Kağıthane , Çağlayan Mah.,3,1,120,8,2
30.000,Kiralık Daire,İstanbul , Şişli , Cumhuriyet Mah.,1,1,70,12,4
12.000,Kiralık Daire,İstanbul , Gaziosmanpaşa , Karayolları Mah.,2,1,150,20,3
16.000,Kiralık Daire,İstanbul , Kağıthane , Gürsel Mah.,1,1,60,8,-2
12.500,Kiralık Daire,İstanbul , Kağıthane , Harmantepe Mah.,1,1,60,10,2
47.000,Kiralık Müstakil Ev,İstanbul , Ümraniye , Atakent Mah.,3,2,160,28,0
18.000,Kiralık Daire,İstanbul , Kağıthane , Yeşilce Mah.,1,1,75,20,1
28.000,Kiralık Daire,İstanbul , Kağıthane , Emniyet Evleri Mah.,2,1,79,7,-1
42.000,Kiralık Daire,İstanbul , Beşiktaş , Türkali Mah.,2,1,70,4,3
12.000,Kiralık Daire,İstanbul , Beylikdüzü , Gürpınar Mah.,3,1,130,20,5
37.000,Kiralık Daire,İstanbul , Üsküdar , Yavuztürk Mah.,3,1,147,19,3
40.000,Kiralık Daire,İstanbul , Ataşehir , Atatürk Mah.,3,1,115,30,1
27.500,Kiralık Daire,İstanbul , Kadıköy , Hasanpaşa Mah.,2,1,80,12,-1
25.000,Kiralık Daire,İstanbul , Kartal , Esentepe Mah.,2,1,90,6,4
27.000,Kiralık Daire,İstanbul , Ümraniye , Esenevler Mah.,2,1,95,25,2
12.500,Kiralık Daire,İstanbul , Avcılar , Cihangir Mah.,2,1,95,28,1
60.000,Kiralık Daire,İstanbul , Beyoğlu , Cihangir Mah.,3,1,120,30,2
28.000,Kiralık Daire,İstanbul , Maltepe , Altıntepe Mah.,3,1,120,35,2
40.000,Kiralık Daire,İstanbul , Maltepe , Feyzullah Mah.,3,1,160,27,6
135.000,Kiralık Yalı Dairesi,İstanbul , Üsküdar , Beylerbeyi Mah.,3,1,145,31,2
40.000,Kiralık Daire,İstanbul , Şişli , Mecidiyeköy Mah.,1,1,65,1,3
18.000,Kiralık Daire,İstanbul , Sancaktepe , Fatih Mah.,3,1,100,21,6
58.000,Kiralık Daire,İstanbul , Kadıköy , Feneryolu Mah.,2,1,90,5,10
35.000,Kiralık Daire,İstanbul , Beşiktaş , Kuruçeşme Mah.,1,1,90,50,1
18.000,Kiralık Daire,İstanbul , Sarıyer , Çamlıtepe Mah.,1,1,80,25,1
35.000,Kiralık Daire,İstanbul , Üsküdar , Valide-i Atik Mah.,2,1,90,20,1
27.500,Kiralık Daire,İstanbul , Şişli , Gülbahar Mah.,3,1,125,22,3
20.000,Kiralık Daire,İstanbul , Beyoğlu , Katip Mustafa Çelebi Mah.,1,0,35,40,2
25.000,Kiralık Daire,İstanbul , Kağıthane , Sultan Selim Mah.,3,1,105,32,1
38.000,Kiralık Daire,İstanbul , Beyoğlu , Cihangir Mah.,2,1,80,35,1
340.000,Kiralık Residence,İstanbul , Beşiktaş , Levazım Mah.,3,1,217,12,7
35.000,Kiralık Daire,İstanbul , Beyoğlu , Cihangir Mah.,1,1,65,4,3
14.500,Kiralık Daire,İstanbul , Şişli , Mecidiyeköy Mah.,2,1,75,15,3
140.000,Kiralık Daire,İstanbul , Beşiktaş , Ortaköy Mah.,5,2,500,32,3
110.000,Kiralık Daire,İstanbul , Beşiktaş , Bebek Mah.,3,1,190,50,2
40.000,Kiralık Daire,İstanbul , Maltepe , Altıntepe Mah.,2,1,85,8,1
29.500,Kiralık Daire,İstanbul , Pendik , Güzelyalı Mah.,2,1,105,9,2
15.000,Kiralık Daire,İstanbul , Bahçelievler , Soğanlı Mah.,1,1,75,1,1
27.000,Kiralık Daire,İstanbul , Sarıyer , İstinye Mah.,2,1,75,25,3
40.000,Kiralık Daire,İstanbul , Kadıköy , Kozyatağı Mah.,2,1,125,33,3
37.500,Kiralık Daire,İstanbul , Beşiktaş , Mecidiye Mah.,2,2,85,43,3
65.000,Kiralık Daire,İstanbul , Eyüpsultan , Göktürk Merkez Mah.,3,1,165,10,1
14.000,Kiralık Daire,İstanbul , Avcılar , Mustafa Kemal Paşa Mah.,2,1,100,25,3
17.500,Kiralık Daire,İstanbul , Beylikdüzü , Adnan Kahveci Mah.,1,1,95,15,2
140.000,Kiralık Daire,İstanbul , Sarıyer , Zekeriyaköy Mah.,4,1,200,6,1
220.000,Kiralık Daire,İstanbul , Sarıyer , Yeniköy Mah.,3,1,195,35,1
20.000,Kiralık Daire,İstanbul , Bahçelievler , Cumhuriyet Mah.,2,1,90,30,3
9.000,Kiralık Daire,İstanbul , Esenyurt , Mehterçeşme Mah.,2,1,90,10,1
30.000,Kiralık Daire,İstanbul , Kadıköy , Merdivenköy Mah.,3,1,115,31,1
20.000,Kiralık Daire,İstanbul , Kağıthane , Çağlayan Mah.,1,1,60,8,3
16.000,Kiralık Daire,İstanbul , Bahçelievler , Siyavuşpaşa Mah.,3,1,115,38,5
55.000,Kiralık Daire,İstanbul , Beşiktaş , Gayrettepe Mah.,3,1,125,40,1
25.500,Kiralık Daire,İstanbul , Kartal , Hürriyet Mah.,2,1,110,6,5
27.500,Kiralık Daire,İstanbul , Üsküdar , Bulgurlu Mah.,1,1,55,1,1
55.000,Kiralık Daire,İstanbul , Şişli , Merkez Mah.,1,1,60,1,7
28.000,Kiralık Residence,İstanbul , Çekmeköy , Güngören Mah.,2,1,85,4,2
13.000,Kiralık Daire,İstanbul , Beyoğlu , Yenişehir Mah.,1,1,70,30,3
45.000,Kiralık Daire,İstanbul , Sarıyer , Maslak Mah.,1,1,80,8,17
14.000,Kiralık Daire,İstanbul , Sancaktepe , Fatih Mah.,2,1,92,10,1
30.000,Kiralık Daire,İstanbul , Maltepe , Zümrütevler Mah.,4,2,200,7,3
13.000,Kiralık Daire,İstanbul , Şişli , Gülbahar Mah.,1,1,65,26,-2
40.000,Kiralık Daire,İstanbul , Şişli , Mecidiyeköy Mah.,1,1,60,4,1
20.000,Kiralık Daire,İstanbul , Kağıthane , Seyrantepe Mah.,2,1,90,10,1
12.000,Kiralık Daire,İstanbul , Fatih , Koca Mustafapaşa Mah.,1,1,65,32,1
20.000,Kiralık Daire,İstanbul , Esenyurt , Bağlarçeşme Mah.,2,1,110,5,1
30.000,Kiralık Daire,İstanbul , Sarıyer , Cumhuriyet Mah.,2,1,95,28,3
24.000,Kiralık Daire,İstanbul , Kağıthane , Yeşilce Mah.,2,1,73,15,3
23.000,Kiralık Daire,İstanbul , Pendik , Doğu Mah.,3,1,120,30,1
25.000,Kiralık Daire,İstanbul , Avcılar , Gümüşpala Mah.,3,1,160,30,4
20.000,Kiralık Daire,İstanbul , Üsküdar , Selami Ali Mah.,2,1,85,31,1
23.000,Kiralık Daire,İstanbul , Pendik , Esenler Mah.,3,1,100,28,3
35.000,Kiralık Daire,İstanbul , Beşiktaş , Ortaköy Mah.,2,1,100,35,4
25.000,Kiralık Daire,İstanbul , Üsküdar , Zeynep Kamil Mah.,2,1,85,35,3
